成都移动电信,#genre#
CCTV15,http://125.71.114.18:4022/rtp/239.93.0.103:5140
CCTV16-4K,http://125.71.114.18:4022/rtp/239.93.42.54:5140

CCTV17,http://125.71.114.18:4022/rtp/239.93.0.92:5140
CCTV5+,http://125.71.114.18:4022/rtp/239.93.1.36:8004
CCTV4K,http://125.71.114.18:4022/rtp/239.93.42.41:5140
CCTV4K,http://125.71.114.18:4022/rtp/239.93.42.42:5140
CCTV央视台球,http://125.71.114.18:4022/rtp/239.93.0.218:5140
CCTV风云足球,http://125.71.114.18:4022/rtp/239.93.0.235:5140
CCTV风云音乐,http://125.71.114.18:4022/rtp/239.93.0.224:5140
CCTV高尔夫网球,http://125.71.114.18:4022/rtp/239.93.1.54:5140
CCTV世界地理,http://125.71.114.18:4022/rtp/239.93.1.157:5140
CCTV第一剧场,http://125.71.114.18:4022/rtp/239.93.1.197:5140
CCTV风云剧场,http://125.71.114.18:4022/rtp/239.93.1.156:5140
CCTV世界地理,http://125.71.114.18:4022/rtp/239.93.1.157:5140
CCTV怀旧剧场,http://125.71.114.18:4022/rtp/239.93.1.198:5140
CCTV兵器科技,http://125.71.114.18:4022/rtp/239.93.1.235:5140
CCTV央视文化精品,http://125.71.114.18:4022/rtp/239.93.42.47:5140
CCTV女性时尚,http://125.71.114.18:4022/rtp/239.93.42.62:5140
CGTN,http://125.71.114.18:4022/rtp/239.93.0.104:5140
CGTN西班牙语,http://125.71.114.18:4022/rtp/239.93.42.49:5140
CGTN法语,http://125.71.114.18:4022/rtp/239.93.42.50:5140
CETV早期教育,http://125.71.114.18:4022/rtp/239.93.0.117:5140
CETV1,http://125.71.114.18:4022/rtp/239.93.1.111:5140
CETV2,http://125.71.114.18:4022/rtp/239.93.0.113:5140
CETV3,http://yun.jinsome.com:8686/rtp/239.3.1.55:4120$北京联通

CETV4,http://125.71.114.18:4022/rtp/239.93.0.50:5140
CHC影迷电影,http://125.71.114.18:4022/rtp/239.93.42.5:5140
CHC家庭影院,http://125.71.114.18:4022/rtp/239.93.42.6:5140
CHC动作电影,http://125.71.114.18:4022/rtp/239.93.42.7:5140
爱上4K,http://125.71.114.18:4022/rtp/239.93.0.97:5140

湖南电影,http://118.254.201.164:8888/udp/239.76.246.106:1234$湖南电信
湖南电影,http://118.254.201.164:8888/udp/239.76.245.119:1234$湖南电信
凤凰中文,http://125.71.114.18:4022/rtp/239.93.0.162:2192
凤凰中文,http://125.71.114.18:4022/rtp/239.93.1.9:2192
凤凰中文,http://118.254.201.164:8888/udp/239.76.253.135:9000$湖南电信
凤凰中文,http://118.254.201.164:8888/udp/239.76.246.135:1234$湖南电信
凤凰中文,http://118.254.201.164:8888/udp/239.76.246.7:1234$湖南电信
凤凰中文,http://42.92.117.8:8888/udp/239.255.30.50:8231$甘肃电信
凤凰资讯,http://125.71.114.18:4022/rtp/239.93.1.4:2191
凤凰资讯,http://125.71.114.18:4022/rtp/239.93.0.118:2191
凤凰资讯,http://118.254.201.164:8888/udp/239.76.253.134:9000$湖南电信
凤凰资讯,http://118.254.201.164:8888/udp/239.76.246.134:1234$湖南电信
凤凰资讯,http://118.254.201.164:8888/udp/239.76.246.8:1234$湖南电信
凤凰资讯,http://42.92.117.8:8888/udp/239.255.30.70:8231$甘肃电信


凤凰xg,http://42.92.117.8:8888/udp/239.255.30.123:8231$甘肃电信
凤凰电影,http://op.sev7.net:4022/rtp/239.254.201.1:5214$河北电信
凤凰xg,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
星空卫视,http://125.71.114.18:4022/rtp/239.93.1.10:2193
星空卫视,http://125.71.114.18:4022/rtp/239.93.0.156:2193
Channel[V],http://125.71.114.18:4022/rtp/239.93.1.7:2194
Channel[V],http://125.71.114.18:4022/rtp/239.93.0.157:2194
xg卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8

欢笑剧场4K,http://125.71.114.18:4022/rtp/239.93.0.145:5140$4K
四川卫视,http://125.71.114.18:4022/rtp/239.93.0.20:1235
四川卫视,http://125.71.114.18:4022/rtp/239.93.1.143:5140
四川经济,http://125.71.114.18:4022/rtp/239.93.1.101:5140
四川文化旅游,http://125.71.114.18:4022/rtp/239.93.1.102:5140
四川新闻,http://125.71.114.18:4022/rtp/239.93.0.47:5140
四川影视文艺,http://125.71.114.18:4022/rtp/239.93.0.166:5140
四川星空购物,http://125.71.114.18:4022/rtp/239.93.1.144:5140
四川妇女儿童,http://125.71.114.18:4022/rtp/239.93.0.219:5140
四川科教,http://125.71.114.18:4022/rtp/239.93.42.44:5140
四川乡村,http://125.71.114.18:4022/rtp/239.93.0.52:5140
峨眉电影,http://125.71.114.18:4022/rtp/239.93.0.252:5140
康巴卫视,http://125.71.114.18:4022/rtp/239.93.0.41:5140
成都新闻综合,http://125.71.114.18:4022/rtp/239.93.0.16:5140
成都经济资讯,http://125.71.114.18:4022/rtp/239.93.0.17:1239
成都都市生活,http://125.71.114.18:4022/rtp/239.93.0.18:1238
成都影视文艺,http://125.71.114.18:4022/rtp/239.93.0.19:1250
成都公共,http://125.71.114.18:4022/rtp/239.93.1.231:5140
成都少儿,http://125.71.114.18:4022/rtp/239.93.0.21:1251
成都每日购物,http://125.71.114.18:4022/rtp/239.93.0.22:1252
蓉城先锋,http://125.71.114.18:4022/rtp/239.93.0.91:2101
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典,http://43.141.130.51/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
重温经典,http://43.141.130.33/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
重温经典,http://ipys.2288.org:8889/udp/228.1.1.44:6044$湖南郴州联通
湖南卫视,http://125.71.114.18:4022/rtp/239.93.0.88:5140
江苏卫视,http://125.71.114.18:4022/rtp/239.93.0.89:5140
浙江卫视,http://125.71.114.18:4022/rtp/239.93.0.124:5140
东方卫视,http://125.71.114.18:4022/rtp/239.93.0.123:5140
北京卫视,http://125.71.114.18:4022/rtp/239.93.0.180:5140
深圳卫视,http://125.71.114.18:4022/rtp/239.93.0.182:5140
广东卫视,http://125.71.114.18:4022/rtp/239.93.0.181:5140
天津卫视,http://125.71.114.18:4022/rtp/239.93.0.167:5140
山东卫视,http://125.71.114.18:4022/rtp/239.93.0.168:5140
江西卫视,http://125.71.114.18:4022/rtp/239.93.0.134:5140
东南卫视,http://125.71.114.18:4022/rtp/239.93.0.42:5140
黑龙江卫视,http://125.71.114.18:4022/rtp/239.93.0.183:5140
重庆卫视,http://125.71.114.18:4022/rtp/239.93.1.107:5140
贵州卫视,http://125.71.114.18:4022/rtp/239.93.0.131:5140
湖北卫视,http://125.71.114.18:4022/rtp/239.93.0.250:5140
安徽卫视,http://125.71.114.18:4022/rtp/239.93.1.106:5140
河北卫视,http://125.71.114.18:4022/rtp/239.93.0.132:5140
辽宁卫视,http://125.71.114.18:4022/rtp/239.93.1.108:5140
